Image	StartTime	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	GraduatePan	GraduateNIR	GraduateRGB	
3321b_3172_01~0001	"04/16/13 00:59:36"	70000	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0002	"04/16/13 08:09:22"	70001	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0003	"04/16/13 08:12:09"	70002	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0004	"04/16/13 08:13:02"	70003	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0005	"04/16/13 08:11:01"	70004	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0003	"04/16/13 08:12:09"	70002	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0004	"04/16/13 08:13:02"	70003	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0006	"04/16/13 08:13:54"	70005	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0007	"04/16/13 08:14:56"	70006	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0008	"04/16/13 08:15:57"	70007	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0009	"04/16/13 08:17:00"	70008	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0010	"04/16/13 08:18:03"	70009	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0011	"04/16/13 08:19:08"	70010	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0012	"04/16/13 08:20:11"	70011	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0013	"04/16/13 08:21:07"	70012	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0014	"04/16/13 08:22:04"	70013	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0015	"04/16/13 08:23:07"	70014	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0016	"04/16/13 08:24:05"	70015	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0017	"04/16/13 08:25:06"	70016	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0018	"04/16/13 08:26:06"	70017	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0019	"04/16/13 08:27:07"	70018	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0020	"04/16/13 08:28:06"	70019	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0021	"04/16/13 08:29:01"	70020	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0022	"04/16/13 08:30:00"	70021	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
3321b_3172_01~0023	"04/16/13 08:31:00"	70022	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	Good	Good	Good
