Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3321b_3172_01~0001	"04/20/13 10:33:33"	D:/CGA/Users/Dugal/MSc	70000	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045362	9.980656	87.035566	17.897385	-10.298635	93.351168	-18.055114	-9.994008	-93.416958	-17.889234	10.313008	-87.154876	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9789721873E-001	-3.8252954810E-003	3.0695668706E+003	8.8407073554E-004	-1.0002777411E+000	2.0343146746E+003	2.7898142642E-007	-2.0400224945E-006	1.0000000000E+000	-9.9721964317E-001	-6.6870841278E-003	3.0695878238E+003	2.5672959765E-003	-1.0002306472E+000	2.0270222525E+003	2.2759290161E-007	-2.8025335530E-006	1.0000000000E+000	9.9869231147E-001	-5.2143535111E-003	6.8225402404E+000	3.1782762555E-003	9.9709734974E-001	-6.5639840787E-001	1.5201399401E-007	-1.5170670977E-006	1.0000000000E+000	-2.2788370226E-002	-4.8034056310E+000	9.0010246253E+003	4.7960629123E+000	-3.6104251612E-002	-1.7728983762E+002	2.3547495273E-007	-1.8799502759E-006	1.0000000000E+000	2	143	288	275	29	39	0.05542	288	277	25	32	0.06431	480	378	4	53	0.14254	288	256	65	34	0.23881	8.64
3321b_3172_01~0002	"04/20/13 10:34:55"	D:/CGA/Users/Dugal/MSc	70001	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045137	9.979139	87.036569	17.896011	-10.298825	93.346743	-18.055170	-9.991713	-93.420906	-17.887489	10.312456	-87.160354	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9791420413E-001	-3.9611833029E-003	3.0695320797E+003	7.8521958949E-004	-1.0002384566E+000	2.0342753118E+003	2.2764777033E-007	-2.0852419621E-006	1.0000000000E+000	-9.9716217971E-001	-6.9186852825E-003	3.0695263581E+003	2.4926982287E-003	-1.0002876718E+000	2.0270633085E+003	2.2005301854E-007	-2.9061825327E-006	1.0000000000E+000	9.9871595931E-001	-5.2804811098E-003	6.9437824333E+000	3.2234130122E-003	9.9703625425E-001	-7.2276479399E-001	1.8041062671E-007	-1.4903483906E-006	1.0000000000E+000	-2.2988225848E-002	-4.8027820261E+000	9.0014603529E+003	4.7975133731E+000	-3.4589661334E-002	-1.7927666541E+002	2.4748966858E-007	-1.6416122539E-006	1.0000000000E+000	1	144	288	284	8	38	0.07129	288	284	13	34	0.06755	288	245	12	31	0.15336	288	268	84	35	0.32034	2.60
3321b_3172_01~0003	"04/20/13 10:35:54"	D:/CGA/Users/Dugal/MSc	70002	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045144	9.978959	87.036986	17.895511	-10.298644	93.346475	-18.055183	-9.991594	-93.421902	-17.886991	10.312335	-87.162090	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9779442998E-001	-3.8004496998E-003	3.0692007314E+003	8.4500657861E-004	-1.0002681320E+000	2.0342840787E+003	1.9990341119E-007	-2.0454150202E-006	1.0000000000E+000	-9.9718708139E-001	-6.6400403231E-003	3.0693817660E+003	2.5282955501E-003	-1.0002171251E+000	2.0270082165E+003	1.5631152672E-007	-2.7787398766E-006	1.0000000000E+000	9.9870911499E-001	-5.1177245208E-003	6.9047164639E+000	3.2015254029E-003	9.9743742013E-001	-8.6737709959E-001	1.1565565849E-007	-1.3271858388E-006	1.0000000000E+000	-2.3153165217E-002	-4.8014806016E+000	8.9995366237E+003	4.7959281790E+000	-3.6425148791E-002	-1.7651274925E+002	2.0201981329E-007	-1.7854353386E-006	1.0000000000E+000	1	144	288	284	1	48	0.07378	288	284	2	52	0.06681	288	244	14	30	0.14496	288	323	80	40	0.27873	3.37
3321b_3172_01~0004	"04/20/13 10:36:53"	D:/CGA/Users/Dugal/MSc	70003	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045488	9.979111	87.036871	17.895941	-10.299649	93.344438	-18.055709	-9.991258	-93.423528	-17.887183	10.312875	-87.162754	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9819630582E-001	-3.5636305802E-003	3.0699823275E+003	7.7763993414E-004	-1.0000866899E+000	2.0342938818E+003	1.9949153145E-007	-1.8112422688E-006	1.0000000000E+000	-9.9743941276E-001	-6.5249551411E-003	3.0698985711E+003	2.4927278289E-003	-1.0001078338E+000	2.0269776040E+003	1.7467378651E-007	-2.6532484852E-006	1.0000000000E+000	9.9868447725E-001	-5.2888368384E-003	6.9016094249E+000	3.2027551854E-003	9.9702145219E-001	-6.2085495047E-001	1.4572712158E-007	-1.5085340277E-006	1.0000000000E+000	-2.2792499019E-002	-4.8027001903E+000	9.0007075492E+003	4.7975231461E+000	-3.4499781464E-002	-1.7948453675E+002	2.3108634761E-007	-1.6175484945E-006	1.0000000000E+000	4	144	288	280	15	28	0.07518	288	280	21	37	0.06522	288	235	4	37	0.14137	288	298	87	39	0.26782	3.19
3321b_3172_01~0005	"04/20/13 10:37:52"	D:/CGA/Users/Dugal/MSc	70004	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045188	9.978896	87.036997	17.895705	-10.298896	93.346464	-18.055364	-9.991513	-93.422649	-17.887047	10.312585	-87.162535	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9791913283E-001	-3.8123926725E-003	3.0693808471E+003	8.1468491910E-004	-1.0002476109E+000	2.0341460871E+003	1.8413965236E-007	-2.0337681878E-006	1.0000000000E+000	-9.9719340588E-001	-6.7423817560E-003	3.0694621933E+003	2.5418846223E-003	-1.0003200705E+000	2.0269810069E+003	1.7307349065E-007	-2.8118419439E-006	1.0000000000E+000	9.9860479991E-001	-5.3430715707E-003	7.0374494538E+000	3.2260222429E-003	9.9702749434E-001	-7.0242150425E-001	1.1255510887E-007	-1.5088193830E-006	1.0000000000E+000	-2.2384029822E-002	-4.8029141866E+000	9.0001486058E+003	4.7971597645E+000	-3.5829899683E-002	-1.7770845764E+002	2.5682542929E-007	-1.7084031717E-006	1.0000000000E+000	4	144	288	277	17	44	0.07002	288	280	23	48	0.06665	288	240	6	24	0.13710	288	219	35	24	0.35446	1.86
3321b_3172_01~0006	"04/20/13 10:38:49"	D:/CGA/Users/Dugal/MSc	70005	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.045316	9.979074	87.036916	17.896099	-10.299094	93.346506	-18.055244	-9.991704	-93.421607	-17.887689	10.312769	-87.160209	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9783488178E-001	-3.9750270693E-003	3.0694684806E+003	9.0181561368E-004	-1.0003278025E+000	2.0342616931E+003	2.6234593868E-007	-2.1158404417E-006	1.0000000000E+000	-9.9719538236E-001	-6.7987132325E-003	3.0695282341E+003	2.5824131119E-003	-1.0003827911E+000	2.0270854922E+003	1.9718173269E-007	-2.8471816131E-006	1.0000000000E+000	9.9863346567E-001	-5.3122992394E-003	7.0072976577E+000	3.2416454684E-003	9.9703872932E-001	-7.0034607730E-001	1.2660280644E-007	-1.4853043462E-006	1.0000000000E+000	-2.3029016711E-002	-4.8026650170E+000	9.0009441907E+003	4.7970953449E+000	-3.6037071975E-002	-1.7788521890E+002	2.5759670619E-007	-1.7768805563E-006	1.0000000000E+000	4	143	288	274	26	36	0.08534	288	275	34	30	0.07962	288	252	10	18	0.14069	288	252	81	34	0.35673	1.45
3321b_3172_01~0007	"04/20/13 10:39:47"	D:/CGA/Users/Dugal/MSc	70006	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.045310	9.979265	87.036856	17.896108	-10.298726	93.346536	-18.055107	-9.991990	-93.420192	-17.887839	10.312480	-87.159612	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9783825412E-001	-3.9458780829E-003	3.0693983348E+003	8.5807992385E-004	-1.0002713371E+000	2.0342096185E+003	2.3332971356E-007	-2.0914448266E-006	1.0000000000E+000	-9.9710148241E-001	-6.8385430807E-003	3.0694268988E+003	2.5409266234E-003	-1.0002718282E+000	2.0269859173E+003	2.0727964904E-007	-2.8591767318E-006	1.0000000000E+000	9.9872858757E-001	-5.2190439710E-003	6.9097411058E+000	3.3246032688E-003	9.9716292960E-001	-8.9019892158E-001	1.4770032430E-007	-1.4529763381E-006	1.0000000000E+000	-2.2759617778E-002	-4.8026194728E+000	9.0002532493E+003	4.7965540779E+000	-3.5615267634E-002	-1.7766936301E+002	2.2989607870E-007	-1.7570348543E-006	1.0000000000E+000	4	143	288	280	24	43	0.07489	288	280	28	32	0.07736	288	252	13	29	0.12253	288	247	87	25	0.31140	1.23
3321b_3172_01~0008	"04/20/13 10:40:47"	D:/CGA/Users/Dugal/MSc	70007	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.045440	9.979314	87.036816	17.896305	-10.298758	93.346924	-18.055536	-9.992084	-93.420585	-17.887744	10.312590	-87.159967	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9792127953E-001	-3.8420630695E-003	3.0695297965E+003	8.5251335996E-004	-1.0002542204E+000	2.0342567584E+003	2.5003264212E-007	-2.0608028975E-006	1.0000000000E+000	-9.9730409423E-001	-6.6919206687E-003	3.0696974287E+003	2.4968425737E-003	-1.0002684000E+000	2.0271184453E+003	2.1273643358E-007	-2.7982543587E-006	1.0000000000E+000	9.9851891104E-001	-5.1545588270E-003	6.8702125170E+000	3.1841827245E-003	9.9697962314E-001	-6.0131323611E-001	7.1993623306E-008	-1.4685797210E-006	1.0000000000E+000	-2.2905800590E-002	-4.8029804256E+000	9.0013042597E+003	4.7974402832E+000	-3.4516421980E-002	-1.7955746113E+002	2.4327174967E-007	-1.6820680997E-006	1.0000000000E+000	4	143	288	279	26	27	0.07292	288	280	33	29	0.07160	288	252	8	26	0.12705	288	262	111	25	0.27201	2.16
3321b_3172_01~0009	"04/20/13 10:41:45"	D:/CGA/Users/Dugal/MSc	70008	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045328	9.979297	87.036842	17.896130	-10.298619	93.347003	-18.055339	-9.992181	-93.420164	-17.887666	10.312556	-87.160580	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9806692287E-001	-3.7823408874E-003	3.0699549878E+003	9.5628561776E-004	-1.0003549552E+000	2.0343768297E+003	3.0481434973E-007	-1.9619534440E-006	1.0000000000E+000	-9.9734998053E-001	-6.7412639713E-003	3.0698590656E+003	2.5642900957E-003	-1.0003406276E+000	2.0271137426E+003	2.3039815753E-007	-2.7893301650E-006	1.0000000000E+000	9.9861709005E-001	-5.1193881146E-003	6.8144360937E+000	3.1587224636E-003	9.9707180778E-001	-5.7303341889E-001	9.3260962495E-008	-1.4069030296E-006	1.0000000000E+000	-2.2395879447E-002	-4.8039192774E+000	9.0018703431E+003	4.7988983403E+000	-3.4534622114E-002	-1.8052465806E+002	3.2552277850E-007	-1.6557074571E-006	1.0000000000E+000	1	144	288	280	29	28	0.07787	288	280	23	31	0.07052	288	247	9	20	0.12144	288	256	126	18	0.28321	1.65
3321b_3172_01~0010	"04/20/13 10:42:42"	D:/CGA/Users/Dugal/MSc	70009	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.045257	9.979238	87.036875	17.896391	-10.298881	93.347203	-18.055181	-9.992129	-93.420303	-17.888015	10.312815	-87.160425	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9781707026E-001	-3.9379862893E-003	3.0693437530E+003	8.9099457946E-004	-1.0002734770E+000	2.0341431834E+003	2.3550519807E-007	-2.1230131122E-006	1.0000000000E+000	-9.9716275846E-001	-6.7743395936E-003	3.0694824916E+003	2.5117259339E-003	-1.0003312039E+000	2.0271282651E+003	2.1473492473E-007	-2.8576892245E-006	1.0000000000E+000	9.9866706569E-001	-5.3232379873E-003	6.9090512277E+000	3.1464339402E-003	9.9689931681E-001	-4.1356098979E-001	1.6170578182E-007	-1.5543906070E-006	1.0000000000E+000	-2.2622226554E-002	-4.8025682212E+000	8.9995704071E+003	4.7961626192E+000	-3.5334252936E-002	-1.7797767594E+002	1.9485003401E-007	-1.7565013311E-006	1.0000000000E+000	1	144	288	281	39	24	0.08478	288	281	32	37	0.07596	288	240	9	25	0.12414	288	253	113	22	0.35275	3.43
