Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3321d_319_14~0478	"04/11/13 09:43:05"	D:/CGA/Users/Dugal/MSc	10000	16.0	8.0	7.7	8.7	7.8	4.7	4.7	6.2	6.2	6.2	Auto	Auto	Auto	Auto	Auto	18.045281	9.977308	87.036168	17.895949	-10.301010	93.345200	-18.055232	-9.989238	-93.424799	-17.887434	10.313990	-87.162649	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9796089223E-001	-3.7842316640E-003	3.0692677763E+003	9.2125314520E-004	-1.0001592486E+000	2.0340195554E+003	2.3610040108E-007	-2.0392868916E-006	1.0000000000E+000	-9.9719886273E-001	-6.7149901874E-003	3.0693843908E+003	2.5313228960E-003	-1.0002140062E+000	2.0268092530E+003	1.8998760380E-007	-2.8562067803E-006	1.0000000000E+000	9.9891067990E-001	-5.0678505785E-003	6.3838561983E+000	3.2437690335E-003	9.9728369229E-001	-4.3723042977E-001	1.2599307918E-007	-1.3455282192E-006	1.0000000000E+000	-2.2744650223E-002	-4.8018525824E+000	8.9987679913E+003	4.7961672602E+000	-3.5826350063E-002	-1.7696221298E+002	2.2238988793E-007	-1.7674526360E-006	1.0000000000E+000	4	144	288	279	8	33	0.08391	288	279	6	44	0.07797	288	223	164	9	0.08734	288	249	35	37	0.32169	1.28
3321d_319_14~0479	"04/11/13 09:42:03"	D:/CGA/Users/Dugal/MSc	10001	16.0	8.0	7.7	8.7	7.8	4.9	4.9	6.5	6.5	6.5	Auto	Auto	Auto	Auto	Auto	18.045417	9.978007	87.036238	17.896355	-10.301361	93.344328	-18.055254	-9.989742	-93.422719	-17.887932	10.314135	-87.160620	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9792891825E-001	-3.7933891847E-003	3.0691653772E+003	8.9719672337E-004	-1.0002596871E+000	2.0341024179E+003	2.2718525196E-007	-2.0594225189E-006	1.0000000000E+000	-9.9720474635E-001	-6.7287976546E-003	3.0694857195E+003	2.5677274219E-003	-1.0003132586E+000	2.0269521004E+003	2.3842767374E-007	-2.8863389108E-006	1.0000000000E+000	9.9867041826E-001	-5.2063174109E-003	6.6481180628E+000	3.1379343847E-003	9.9681534282E-001	3.4665130659E-003	1.0237423830E-007	-1.4664826550E-006	1.0000000000E+000	-2.3325625871E-002	-4.8015840839E+000	8.9994934710E+003	4.7957954130E+000	-3.6013509380E-002	-1.7648630223E+002	1.9713099606E-007	-1.7687714477E-006	1.0000000000E+000	4	144	288	280	13	51	0.07070	288	281	6	50	0.06802	480	339	259	15	0.09961	288	260	27	44	0.27347	8.60
3321d_319_14~0478	"04/11/13 09:43:05"	D:/CGA/Users/Dugal/MSc	10000	16.0	8.0	7.7	8.7	7.8	4.7	4.7	6.2	6.2	6.2	Auto	Auto	Auto	Auto	Auto	18.045281	9.977308	87.036168	17.895949	-10.301010	93.345200	-18.055232	-9.989238	-93.424799	-17.887434	10.313990	-87.162649	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9796089223E-001	-3.7842316640E-003	3.0692677763E+003	9.2125314520E-004	-1.0001592486E+000	2.0340195554E+003	2.3610040108E-007	-2.0392868916E-006	1.0000000000E+000	-9.9719886273E-001	-6.7149901874E-003	3.0693843908E+003	2.5313228960E-003	-1.0002140062E+000	2.0268092530E+003	1.8998760380E-007	-2.8562067803E-006	1.0000000000E+000	9.9891067990E-001	-5.0678505785E-003	6.3838561983E+000	3.2437690335E-003	9.9728369229E-001	-4.3723042977E-001	1.2599307918E-007	-1.3455282192E-006	1.0000000000E+000	-2.2744650223E-002	-4.8018525824E+000	8.9987679913E+003	4.7961672602E+000	-3.5826350063E-002	-1.7696221298E+002	2.2238988793E-007	-1.7674526360E-006	1.0000000000E+000	4	144	288	279	8	33	0.08391	288	279	6	44	0.07797	288	223	164	9	0.08734	288	249	35	37	0.32169	1.28
3321d_319_14~0480	"04/11/13 09:43:54"	D:/CGA/Users/Dugal/MSc	10002	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.6	6.6	6.6	Auto	Auto	Auto	Auto	Auto	18.045498	9.977587	87.035717	17.896115	-10.302048	93.342697	-18.055574	-9.989326	-93.424693	-17.887455	10.314853	-87.163752	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9789487150E-001	-3.7837653233E-003	3.0689991829E+003	8.4352391281E-004	-1.0002127156E+000	2.0340657581E+003	1.9414218809E-007	-2.0817866856E-006	1.0000000000E+000	-9.9716527630E-001	-6.8033275111E-003	3.0693081377E+003	2.5240371632E-003	-1.0002898239E+000	2.0268634394E+003	1.8557817922E-007	-2.9216042051E-006	1.0000000000E+000	9.9930905866E-001	-5.1616429743E-003	6.2121059254E+000	3.4415384206E-003	9.9738007778E-001	-5.9124557909E-001	2.9985116723E-007	-1.3928238825E-006	1.0000000000E+000	-2.3216518217E-002	-4.8019277228E+000	8.9996928502E+003	4.7955778065E+000	-3.6682402560E-002	-1.7582259416E+002	1.9609579245E-007	-1.8083574772E-006	1.0000000000E+000	4	144	288	279	16	34	0.08095	288	280	12	35	0.07632	288	217	166	9	0.09058	288	277	56	34	0.30733	1.47
3321d_319_14~0481	"04/11/13 09:44:50"	D:/CGA/Users/Dugal/MSc	10003	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.7	6.7	6.7	Auto	Auto	Auto	Auto	Auto	18.045392	9.977679	87.036028	17.896086	-10.301295	93.344351	-18.055160	-9.989587	-93.423326	-17.887750	10.314233	-87.162341	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9787686874E-001	-3.8018425631E-003	3.0690207452E+003	8.3147636784E-004	-1.0002539461E+000	2.0341514437E+003	2.1494049428E-007	-2.0854098510E-006	1.0000000000E+000	-9.9721232044E-001	-6.6565359805E-003	3.0693625921E+003	2.4237746388E-003	-1.0002470080E+000	2.0270176339E+003	1.7812006172E-007	-2.8299092583E-006	1.0000000000E+000	9.9927397527E-001	-5.0361270205E-003	6.2207209325E+000	3.5187614705E-003	9.9748590967E-001	-7.5281837969E-001	3.0316314097E-007	-1.3501693669E-006	1.0000000000E+000	-2.3007844328E-002	-4.8021880754E+000	9.0000430017E+003	4.7967112750E+000	-3.6340808408E-002	-1.7658545948E+002	2.7044049278E-007	-1.7709165727E-006	1.0000000000E+000	4	144	288	273	19	30	0.07352	288	275	11	37	0.07415	480	320	259	8	0.11696	288	263	62	30	0.31272	1.25
3321d_319_14~0482	"04/11/13 09:45:53"	D:/CGA/Users/Dugal/MSc	10004	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.7	6.7	6.7	Auto	Auto	Auto	Auto	Auto	18.045537	9.977988	87.035901	17.896763	-10.301198	93.345361	-18.055090	-9.990271	-93.421122	-17.888685	10.314484	-87.159171	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9787076274E-001	-3.8763622700E-003	3.0689721558E+003	8.3097253445E-004	-1.0001767407E+000	2.0340348335E+003	1.8779255997E-007	-2.1113461686E-006	1.0000000000E+000	-9.9718607878E-001	-6.7558894341E-003	3.0693637465E+003	2.5138390809E-003	-1.0002747650E+000	2.0269315690E+003	1.9791147723E-007	-2.8764906075E-006	1.0000000000E+000	9.9916689952E-001	-4.9820341888E-003	6.3040791537E+000	3.2670895976E-003	9.9776023218E-001	-6.3371621542E-001	2.2252318299E-007	-1.1786302073E-006	1.0000000000E+000	-2.2675351597E-002	-4.8025823655E+000	9.0001659749E+003	4.7972628649E+000	-3.4919483929E-002	-1.7845631657E+002	2.8530483312E-007	-1.6950128350E-006	1.0000000000E+000	4	144	288	275	13	30	0.07676	288	275	10	44	0.07221	480	315	272	9	0.11681	288	246	54	32	0.32114	1.87
3321d_319_14~0483	"04/11/13 09:46:57"	D:/CGA/Users/Dugal/MSc	10005	16.0	8.0	7.7	8.7	7.8	5.0	5.0	6.7	6.7	6.7	Auto	Auto	Auto	Auto	Auto	18.045552	9.977960	87.036098	17.896614	-10.301263	93.345024	-18.055254	-9.989997	-93.422130	-17.888360	10.314323	-87.160174	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797556195E-001	-3.8428861311E-003	3.0691403337E+003	7.5372957987E-004	-1.0001991272E+000	2.0341627561E+003	1.7415288100E-007	-2.0557615357E-006	1.0000000000E+000	-9.9722726994E-001	-6.7557536624E-003	3.0694233075E+003	2.4622129392E-003	-1.0002344621E+000	2.0269081491E+003	1.6706253974E-007	-2.8376359634E-006	1.0000000000E+000	9.9848088985E-001	-4.8995052709E-003	6.3795147959E+000	2.8716758201E-003	9.9705170467E-001	3.5428757588E-001	-6.3114702133E-008	-1.2374007079E-006	1.0000000000E+000	-2.2933268455E-002	-4.8015174529E+000	8.9985522555E+003	4.7956486112E+000	-3.5925774405E-002	-1.7665941873E+002	1.9233727236E-007	-1.7732643456E-006	1.0000000000E+000	4	144	288	284	10	26	0.08977	288	284	13	35	0.07778	288	197	167	5	0.08066	288	265	64	18	0.30871	2.42
3321d_319_14~0484	"04/11/13 09:47:52"	D:/CGA/Users/Dugal/MSc	10006	16.0	8.0	7.7	8.7	7.8	5.2	5.2	7.0	7.0	7.0	Auto	Auto	Auto	Auto	Auto	18.045482	9.977922	87.036124	17.896154	-10.301548	93.342966	-18.055148	-9.989691	-93.422761	-17.887904	10.314338	-87.161934	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9783650666E-001	-3.9196661693E-003	3.0689847286E+003	8.6826852122E-004	-1.0002456276E+000	2.0340862533E+003	2.2110708646E-007	-2.1559232067E-006	1.0000000000E+000	-9.9716573015E-001	-6.8021551945E-003	3.0693078909E+003	2.4988573339E-003	-1.0002553528E+000	2.0268872094E+003	1.8222815556E-007	-2.9056037271E-006	1.0000000000E+000	9.9866443208E-001	-5.1951490906E-003	6.3989578547E+000	3.0561961374E-003	9.9720695766E-001	1.4637569708E-002	6.5200364165E-008	-1.3373049982E-006	1.0000000000E+000	-2.3073492450E-002	-4.8014899086E+000	8.9989459758E+003	4.7958314836E+000	-3.5879891050E-002	-1.7690918125E+002	1.8080509929E-007	-1.7353919147E-006	1.0000000000E+000	4	144	288	282	1	40	0.07986	288	282	10	37	0.07543	288	197	3	38	0.22951	288	269	46	30	0.34828	0.87
3321d_319_14~0485	"04/11/13 09:50:20"	D:/CGA/Users/Dugal/MSc	10007	16.0	8.0	7.7	8.7	7.8	5.5	5.5	7.4	7.4	7.4	Auto	Auto	Auto	Auto	Auto	18.045541	9.977793	87.036154	17.896086	-10.300679	93.345015	-18.054912	-9.990356	-93.421522	-17.888222	10.314225	-87.160188	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9788522804E-001	-3.8826233986E-003	3.0690780082E+003	8.5043253745E-004	-1.0002352210E+000	2.0341291404E+003	2.3115983546E-007	-2.1166295787E-006	1.0000000000E+000	-9.9721276817E-001	-6.7594955324E-003	3.0694689561E+003	2.5295745423E-003	-1.0003150023E+000	2.0269820826E+003	2.2637191138E-007	-2.8826674790E-006	1.0000000000E+000	9.9870266619E-001	-4.8683052580E-003	6.1925473629E+000	2.9876074456E-003	9.9733690119E-001	6.3087176589E-002	3.0402124732E-008	-1.2060588262E-006	1.0000000000E+000	-2.2899550963E-002	-4.8020582008E+000	8.9995969804E+003	4.7961032974E+000	-3.5755500438E-002	-1.7724044781E+002	1.9225703011E-007	-1.7150404903E-006	1.0000000000E+000	4	144	288	281	9	28	0.08322	288	282	19	27	0.07805	288	201	6	27	0.20382	288	271	73	36	0.28779	1.83
3321d_319_14~0486	"04/11/13 09:49:20"	D:/CGA/Users/Dugal/MSc	10008	16.0	8.0	5.4	6.2	5.5	6.1	6.1	4.0	4.0	4.0	Auto	Auto	Auto	Auto	Auto	18.045553	9.977701	87.035990	17.896201	-10.301955	93.342304	-18.055399	-9.989260	-93.424476	-17.887748	10.314555	-87.162040	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9795337107E-001	-3.8527294265E-003	3.0691705313E+003	7.8597280415E-004	-1.0001824358E+000	2.0340943568E+003	1.9224668706E-007	-2.0743587663E-006	1.0000000000E+000	-9.9726334618E-001	-6.7022685388E-003	3.0694972354E+003	2.4493847261E-003	-1.0001696003E+000	2.0268888255E+003	1.7321675258E-007	-2.8239020617E-006	1.0000000000E+000	9.9875438022E-001	-5.1651773341E-003	6.4987349697E+000	3.2367403564E-003	9.9729422253E-001	-4.3277190960E-001	1.0259851144E-007	-1.3415449333E-006	1.0000000000E+000	-2.3029262539E-002	-4.8021602553E+000	8.9998824604E+003	4.7971200325E+000	-3.5314414192E-002	-1.7827431288E+002	2.5167474278E-007	-1.6944294870E-006	1.0000000000E+000	4	144	288	280	7	36	0.08394	288	281	10	40	0.07879	288	189	8	26	0.21131	288	247	97	27	0.35693	1.66
