Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3322a_320_01~0001	"04/15/13 15:56:12"	D:/CGA/Users/Dugal/MSc	10000	16.0	11.3	7.7	8.7	7.8	3.3	6.7	4.7	4.7	4.7	Auto	Auto	Auto	Auto	Auto	18.045695	9.979556	87.036462	17.897788	-10.300078	93.352422	-18.055641	-9.992792	-93.418831	-17.889430	10.314357	-87.156350	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9782674165E-001	-3.9924086063E-003	3.0694647724E+003	8.7756330608E-004	-1.0003740230E+000	2.0342979167E+003	2.8243558973E-007	-2.1137725950E-006	1.0000000000E+000	-9.9726619959E-001	-6.7105910837E-003	3.0700452455E+003	2.5630789549E-003	-1.0003910985E+000	2.0271536815E+003	2.5587575117E-007	-2.8004781951E-006	1.0000000000E+000	9.9831768702E-001	-4.8610741565E-003	6.2722805588E+000	2.9190967954E-003	9.9685644309E-001	1.5508742595E-001	-6.3821237393E-008	-1.3276673221E-006	1.0000000000E+000	-2.2714033823E-002	-4.8026578382E+000	9.0001263672E+003	4.7967718015E+000	-3.5030577187E-002	-1.8006803585E+002	2.2412744594E-007	-1.7605516345E-006	1.0000000000E+000	3	143	288	258	79	24	0.07860	288	264	74	34	0.07447	480	374	338	5	0.06859	288	223	75	33	0.25464	7.43
3322a_320_01~0002	"04/15/13 15:57:34"	D:/CGA/Users/Dugal/MSc	10001	16.0	11.3	7.7	8.7	7.8	3.3	6.7	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.046045	9.978256	87.036549	17.896888	-10.300156	93.347292	-18.056022	-9.991059	-93.420587	-17.888449	10.314008	-87.159458	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9793893013E-001	-3.8532662647E-003	3.0695001606E+003	8.1010269062E-004	-1.0002717931E+000	2.0342180579E+003	2.3256309784E-007	-2.0578051951E-006	1.0000000000E+000	-9.9726903794E-001	-6.6261443406E-003	3.0698490570E+003	2.3538490946E-003	-1.0002066289E+000	2.0271620263E+003	1.8183662103E-007	-2.7884522033E-006	1.0000000000E+000	9.9920734076E-001	-5.3496380145E-003	6.1492455938E+000	3.4240005126E-003	9.9702553166E-001	-6.0433180576E-001	2.9563331968E-007	-1.6041939008E-006	1.0000000000E+000	-2.2681906142E-002	-4.8028294908E+000	9.0005398169E+003	4.7974089637E+000	-3.5390247951E-002	-1.7934611026E+002	2.7901855446E-007	-1.7126179616E-006	1.0000000000E+000	3	143	288	278	65	34	0.07033	288	279	61	37	0.07689	288	228	192	6	0.05623	288	259	77	25	0.30405	1.98
3322a_320_01~0003	"04/15/13 15:58:39"	D:/CGA/Users/Dugal/MSc	10002	16.0	11.3	7.7	8.7	7.8	3.3	6.7	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045575	9.978243	87.037003	17.895906	-10.299707	93.346842	-18.055234	-9.990949	-93.420558	-17.887772	10.313426	-87.160507	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9782183003E-001	-4.0199623711E-003	3.0691800865E+003	7.6392027184E-004	-1.0001529268E+000	2.0340749348E+003	1.7542839284E-007	-2.1626749487E-006	1.0000000000E+000	-9.9718340551E-001	-6.7985131802E-003	3.0696978312E+003	2.4585802695E-003	-1.0002516405E+000	2.0270554237E+003	2.0233633181E-007	-2.9281380931E-006	1.0000000000E+000	9.9862149379E-001	-5.2362572646E-003	6.4505239074E+000	3.1813494010E-003	9.9706382680E-001	-5.1236354210E-001	9.9219200411E-008	-1.4919472943E-006	1.0000000000E+000	-2.2830961355E-002	-4.8018559761E+000	8.9992182995E+003	4.7954899587E+000	-3.7238387833E-002	-1.7663675351E+002	2.2935105135E-007	-1.8974142975E-006	1.0000000000E+000	4	144	288	285	41	43	0.07492	288	285	27	49	0.07079	288	239	5	40	0.13346	288	292	71	45	0.24769	3.01
3322a_320_01~0004	"04/15/13 15:59:44"	D:/CGA/Users/Dugal/MSc	10003	16.0	11.3	7.7	8.7	7.8	3.3	6.7	4.6	4.6	4.6	Auto	Auto	Auto	Auto	Auto	18.045732	9.978192	87.036990	17.896382	-10.300288	93.346565	-18.055738	-9.990700	-93.421981	-17.887879	10.313850	-87.160581	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9794443810E-001	-3.8887754944E-003	3.0696436575E+003	8.3918199051E-004	-1.0003790536E+000	2.0343854438E+003	2.7860757866E-007	-2.0480708758E-006	1.0000000000E+000	-9.9722039179E-001	-6.7103009178E-003	3.0699718762E+003	2.5127201303E-003	-1.0003964570E+000	2.0271959133E+003	2.5377965297E-007	-2.8100652430E-006	1.0000000000E+000	9.9898588226E-001	-5.0874204115E-003	6.1269764151E+000	3.2380215684E-003	9.9727660306E-001	-5.2421186662E-001	1.7304276699E-007	-1.3913224948E-006	1.0000000000E+000	-2.2805527902E-002	-4.8028411958E+000	9.0012593599E+003	4.7979342690E+000	-3.5123231086E-002	-1.7984378487E+002	3.0533649019E-007	-1.6696149106E-006	1.0000000000E+000	4	144	288	276	37	29	0.08441	288	277	21	33	0.07905	288	240	201	9	0.05543	288	240	66	24	0.26981	3.80
3322a_320_01~0005	"04/15/13 16:00:43"	D:/CGA/Users/Dugal/MSc	10004	16.0	11.3	7.7	8.7	7.8	3.4	6.7	4.7	4.7	4.7	Auto	Auto	Auto	Auto	Auto	18.045586	9.978459	87.036932	17.896232	-10.300289	93.346063	-18.055408	-9.990820	-93.420868	-17.887895	10.313685	-87.160286	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9785299749E-001	-3.9436591516E-003	3.0693556629E+003	8.4556251363E-004	-1.0002620083E+000	2.0341217302E+003	2.3276100149E-007	-2.1109733387E-006	1.0000000000E+000	-9.9720203012E-001	-6.7521378971E-003	3.0699189897E+003	2.5315327709E-003	-1.0003763281E+000	2.0271375215E+003	2.6997462554E-007	-2.8458997334E-006	1.0000000000E+000	9.9904697682E-001	-5.0473448350E-003	5.8613317638E+000	3.2483889976E-003	9.9718975011E-001	-5.0977469634E-001	1.6525133349E-007	-1.4307081554E-006	1.0000000000E+000	-2.2919802093E-002	-4.8020213495E+000	8.9995990005E+003	4.7960991962E+000	-3.5925611952E-002	-1.7798563487E+002	2.2756859818E-007	-1.7920644425E-006	1.0000000000E+000	4	144	288	273	31	36	0.07665	288	275	19	36	0.07343	288	225	179	10	0.07201	288	236	72	26	0.25296	2.49
3322a_320_01~0006	"04/15/13 16:01:44"	D:/CGA/Users/Dugal/MSc	10005	16.0	11.3	7.7	8.7	7.8	3.4	6.8	4.7	4.7	4.7	Auto	Auto	Auto	Auto	Auto	18.045822	9.978428	87.036897	17.896905	-10.300196	93.347390	-18.055785	-9.991020	-93.420283	-17.888455	10.313836	-87.158599	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9788490196E-001	-3.8136519459E-003	3.0693845651E+003	7.9550981548E-004	-1.0002899777E+000	2.0342927462E+003	2.4079838172E-007	-2.0676902743E-006	1.0000000000E+000	-9.9730271589E-001	-6.5847603253E-003	3.0700659510E+003	2.4654645975E-003	-1.0003785689E+000	2.0272962856E+003	2.5640052841E-007	-2.7573559519E-006	1.0000000000E+000	9.9808836973E-001	-5.0166142627E-003	6.6495311497E+000	2.8553595252E-003	9.9658311696E-001	5.6888538855E-001	-7.9988994840E-008	-1.4120438609E-006	1.0000000000E+000	-2.2612230498E-002	-4.8030470108E+000	9.0011304289E+003	4.7980198706E+000	-3.5862234057E-002	-1.7941102887E+002	3.1641996902E-007	-1.7428365355E-006	1.0000000000E+000	4	144	288	278	40	27	0.08487	288	279	30	33	0.08055	288	227	178	7	0.06260	288	270	94	29	0.28084	2.09
3322a_320_01~0007	"04/15/13 16:02:44"	D:/CGA/Users/Dugal/MSc	10006	16.0	11.3	7.7	8.7	7.8	3.4	6.9	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045734	9.978393	87.036925	17.896769	-10.300377	93.346979	-18.055762	-9.991039	-93.420806	-17.888261	10.314078	-87.159353	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9800782437E-001	-3.8306691103E-003	3.0697430028E+003	9.0378545518E-004	-1.0003908784E+000	2.0343350757E+003	2.8268962095E-007	-2.0146512572E-006	1.0000000000E+000	-9.9722745035E-001	-6.6571396894E-003	3.0699165927E+003	2.5451889593E-003	-1.0004271762E+000	2.0272163033E+003	2.5873695248E-007	-2.8035008777E-006	1.0000000000E+000	9.9905660744E-001	-5.1539464232E-003	6.0268680214E+000	3.3034759643E-003	9.9714009885E-001	-6.1027432796E-001	1.8122698961E-007	-1.4763131449E-006	1.0000000000E+000	-2.2795450887E-002	-4.8027079450E+000	9.0009645950E+003	4.7978044008E+000	-3.4621456369E-002	-1.8078370231E+002	2.7381838871E-007	-1.6743641036E-006	1.0000000000E+000	4	144	288	272	34	44	0.07878	288	275	27	29	0.07982	288	235	193	9	0.07289	288	237	79	20	0.29817	1.38
3322a_320_01~0008	"04/15/13 16:03:44"	D:/CGA/Users/Dugal/MSc	10007	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045670	9.978306	87.036965	17.896588	-10.300231	93.346936	-18.055605	-9.990837	-93.420967	-17.888160	10.313808	-87.159031	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9780179581E-001	-3.9489248663E-003	3.0693387361E+003	9.5403077833E-004	-1.0003066934E+000	2.0341036257E+003	2.8623066446E-007	-2.1453530416E-006	1.0000000000E+000	-9.9717536706E-001	-6.7723862865E-003	3.0698010560E+003	2.5253706032E-003	-1.0002956826E+000	2.0270220622E+003	2.3833938815E-007	-2.8709987394E-006	1.0000000000E+000	9.9877357438E-001	-4.9609951563E-003	6.3771504517E+000	3.1833612361E-003	9.9742051430E-001	-5.5110926945E-001	1.1078044738E-007	-1.2689697745E-006	1.0000000000E+000	-2.2716019762E-002	-4.8024559921E+000	9.0001855765E+003	4.7970301500E+000	-3.5551977289E-002	-1.7891507879E+002	2.7540482250E-007	-1.7598800361E-006	1.0000000000E+000	2	143	288	281	41	38	0.07941	288	283	35	43	0.07745	288	234	188	9	0.04969	288	260	91	28	0.27638	2.02
3322a_320_01~0009	"04/15/13 16:04:42"	D:/CGA/Users/Dugal/MSc	10008	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045707	9.978336	87.036948	17.896774	-10.300309	93.347437	-18.055680	-9.990969	-93.421089	-17.888319	10.313991	-87.159533	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797031008E-001	-3.7743847387E-003	3.0696962451E+003	9.1768985513E-004	-1.0003748271E+000	2.0343603095E+003	3.0091400678E-007	-1.9847182881E-006	1.0000000000E+000	-9.9723218008E-001	-6.6868767488E-003	3.0699947028E+003	2.5741571491E-003	-1.0003947468E+000	2.0271727216E+003	2.7682396973E-007	-2.8052215060E-006	1.0000000000E+000	9.9885537882E-001	-5.0877660019E-003	6.1093059735E+000	3.2437078117E-003	9.9719434592E-001	-6.2597173342E-001	1.1151957660E-007	-1.3962306324E-006	1.0000000000E+000	-2.2665950501E-002	-4.8027747912E+000	9.0006056045E+003	4.7973513193E+000	-3.5676218039E-002	-1.7926681771E+002	2.9394480232E-007	-1.7676997669E-006	1.0000000000E+000	4	144	288	280	32	28	0.08663	288	279	32	27	0.08416	288	242	171	13	0.05525	288	256	82	27	0.27729	0.66
3322a_320_01~0010	"04/15/13 16:05:43"	D:/CGA/Users/Dugal/MSc	10009	16.0	8.0	7.7	8.7	7.8	3.5	3.5	4.8	4.8	4.8	Auto	Auto	Auto	Auto	Auto	18.045841	9.977963	87.037042	17.896382	-10.300330	93.346562	-18.055755	-9.990557	-93.422490	-17.887981	10.313967	-87.160239	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9801489648E-001	-3.7627358150E-003	3.0698567635E+003	9.0220558702E-004	-1.0005173558E+000	2.0345957192E+003	3.3269387054E-007	-1.9870035943E-006	1.0000000000E+000	-9.9730038545E-001	-6.6368529559E-003	3.0701638454E+003	2.5577802998E-003	-1.0005068404E+000	2.0273729142E+003	2.8774236761E-007	-2.7616954702E-006	1.0000000000E+000	9.9887854190E-001	-5.1697369207E-003	6.1500866178E+000	3.2200507017E-003	9.9720582439E-001	-6.3858109085E-001	1.2258576494E-007	-1.4160875502E-006	1.0000000000E+000	-2.2691869438E-002	-4.8028870166E+000	9.0008420927E+003	4.7977278218E+000	-3.5226679418E-002	-1.8015340047E+002	2.9131910134E-007	-1.7165005840E-006	1.0000000000E+000	1	143	288	280	35	33	0.08255	288	283	32	25	0.07413	288	245	194	6	0.05360	288	260	106	25	0.31323	0.92
