Image	StartTime	PMIMage	PhotoFileIndex	FStopPan	FStopNIR	FStopRed	FStopGreen	FStopBlue	ExposurePan	ExposureNIR	ExposureRed	ExposureGreen	ExposureBlue	ModePan	ModeNIR	ModeRed	ModeGreen	ModeBlue	Pan1Omega	Pan1Phi	Pan1Kappa	Pan2Omega	Pan2Phi	Pan2Kappa	Pan3Omega	Pan3Phi	Pan3Kappa	Pan4Omega	Pan4Phi	Pan4Kappa	PANplatformcalib	MSplatformcalib	GraduatePan	GraduateNIR	GraduateRGB	GNtags	GBtags	GRtags	GVtags	GR00	GR01	GR02	GR10	GR11	GR12	GR20	GR21	GR22	GB00	GB01	GB02	GB10	GB11	GB12	GB20	GB21	GB22	GN00	GN01	GN02	GN10	GN11	GN12	GN20	GN21	GN22	GV00	GV01	GV02	GV10	GV11	GV12	GV20	GV21	GV22	TDI	MaxTDI	GBMatching	GBmatched	GBNumInv	GBOut	GBRMS	GRMatching	GRmatched	GRNumInv	GROut	GRRMS	GNMatching	GNmatched	GNNumInv	GNOut	GNRMS	GVMatching	GVmatched	GVNumInv	GVOut	GVRMS	GVDist	
3322c_322_01~0001	"04/10/13 22:35:04"	D:/CGA/Users/Dugal/MSc	100000	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	18.046202	9.980213	87.035008	17.898350	-10.300997	93.352583	-18.056329	-9.993022	-93.420471	-17.889763	10.314872	-87.155814	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9782054505E-001	-3.8951557905E-003	3.0690050874E+003	6.5986463670E-004	-1.0001338407E+000	2.0342377745E+003	1.5057396424E-007	-2.0904195124E-006	1.0000000000E+000	-9.9719941327E-001	-6.7037618355E-003	3.0694717957E+003	2.3450256121E-003	-1.0001978523E+000	2.0271492751E+003	1.6454024576E-007	-2.8311922871E-006	1.0000000000E+000	9.9896136514E-001	-5.0671422976E-003	6.6335539031E+000	3.2277425147E-003	9.9729918169E-001	-4.9638762388E-001	1.6832891783E-007	-1.3590960418E-006	1.0000000000E+000	-2.2923968438E-002	-4.8024799304E+000	9.0004755253E+003	4.7962423019E+000	-3.5593626060E-002	-1.7708488465E+002	2.0710766997E-007	-1.7581568428E-006	1.0000000000E+000	6	144	288	276	38	39	0.05930	288	277	14	37	0.06033	480	411	365	7	0.03706	288	248	27	32	0.19147	7.46
3322c_322_01~0002	"04/10/13 22:36:26"	D:/CGA/Users/Dugal/MSc	100001	16.0	8.0	7.7	8.7	7.8	4.1	4.1	5.7	5.7	5.7	Auto	Auto	Auto	Auto	Auto	18.046230	9.978169	87.035542	17.896157	-10.300919	93.344602	-18.055929	-9.990682	-93.422480	-17.887961	10.314452	-87.162280	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9786254651E-001	-4.0226318411E-003	3.0692603749E+003	7.2103701533E-004	-1.0002523869E+000	2.0342769474E+003	2.0255922651E-007	-2.1215026659E-006	1.0000000000E+000	-9.9729303194E-001	-6.7687871679E-003	3.0697248615E+003	2.4224811386E-003	-1.0003109435E+000	2.0271902607E+003	2.0582484178E-007	-2.8269202316E-006	1.0000000000E+000	9.9875136028E-001	-5.2243570060E-003	6.9035932721E+000	3.1869153999E-003	9.9710585841E-001	-3.3935329451E-001	1.2041843169E-007	-1.4089976143E-006	1.0000000000E+000	-2.3162682276E-002	-4.8025112335E+000	9.0011933280E+003	4.7971326266E+000	-3.5812811970E-002	-1.7757713447E+002	2.6921469182E-007	-1.7597516204E-006	1.0000000000E+000	6	144	288	276	30	36	0.07820	288	277	15	36	0.07506	288	252	207	8	0.05133	288	226	43	28	0.25080	1.80
3322c_322_01~0003	"04/10/13 22:37:26"	D:/CGA/Users/Dugal/MSc	100002	16.0	8.0	7.7	8.7	7.8	4.0	4.0	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.046081	9.978526	87.035816	17.896629	-10.300925	93.345448	-18.056061	-9.990896	-93.422311	-17.888137	10.314346	-87.161376	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9790615262E-001	-3.8513315276E-003	3.0691841438E+003	7.3217223182E-004	-1.0001611306E+000	2.0342186301E+003	1.7769831944E-007	-2.0580619232E-006	1.0000000000E+000	-9.9723167479E-001	-6.7088725152E-003	3.0695067119E+003	2.3562598699E-003	-1.0001794410E+000	2.0270848550E+003	1.5716832404E-007	-2.8162384147E-006	1.0000000000E+000	9.9894909119E-001	-5.0919543854E-003	6.4684412119E+000	3.1665771453E-003	9.9713243992E-001	-3.0598488196E-001	1.4898608321E-007	-1.4173921152E-006	1.0000000000E+000	-2.2767051046E-002	-4.8028556905E+000	9.0011375010E+003	4.7973968662E+000	-3.5778689396E-002	-1.7748282405E+002	2.9321317164E-007	-1.7574660786E-006	1.0000000000E+000	6	144	288	283	19	43	0.07281	288	283	18	35	0.07355	288	244	203	9	0.06065	288	259	36	28	0.22875	0.78
3322c_322_01~0004	"04/10/13 22:38:26"	D:/CGA/Users/Dugal/MSc	100003	16.0	8.0	7.7	8.7	7.8	3.8	3.8	5.3	5.3	5.3	Auto	Auto	Auto	Auto	Auto	18.045942	9.978758	87.036088	17.896326	-10.300570	93.345693	-18.055636	-9.991431	-93.420276	-17.888154	10.314260	-87.161055	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9781877826E-001	-3.9437274947E-003	3.0691690890E+003	8.3715924950E-004	-1.0002612265E+000	2.0342103434E+003	2.2420988763E-007	-2.0939482958E-006	1.0000000000E+000	-9.9719848172E-001	-6.6974501543E-003	3.0694676123E+003	2.4733274121E-003	-1.0002818435E+000	2.0271029208E+003	1.9619896681E-007	-2.8482550653E-006	1.0000000000E+000	9.9893713606E-001	-5.0069020173E-003	6.5695480417E+000	3.0997354403E-003	9.9754917154E-001	-6.3870521552E-001	4.8325684058E-008	-1.2292787814E-006	1.0000000000E+000	-2.3272782275E-002	-4.8014244080E+000	8.9992868056E+003	4.7947947180E+000	-3.5820006586E-002	-1.7590578004E+002	1.4354030937E-007	-1.7849756881E-006	1.0000000000E+000	6	144	288	279	13	29	0.07400	288	279	18	42	0.06584	480	385	323	8	0.07531	288	260	31	26	0.25241	2.43
3322c_322_01~0005	"04/10/13 22:39:35"	D:/CGA/Users/Dugal/MSc	100004	16.0	8.0	7.7	8.7	7.8	3.9	3.9	5.5	5.5	5.5	Auto	Auto	Auto	Auto	Auto	18.046399	9.978739	87.036007	17.896338	-10.301561	93.342580	-18.056206	-9.990691	-93.422740	-17.887969	10.314549	-87.162722	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9797513506E-001	-3.7470029931E-003	3.0693849943E+003	7.8953516415E-004	-1.0001805742E+000	2.0342545253E+003	2.1018620350E-007	-1.9820647713E-006	1.0000000000E+000	-9.9722516364E-001	-6.7686859766E-003	3.0696893685E+003	2.4695485588E-003	-1.0003353170E+000	2.0272183979E+003	2.3171091145E-007	-2.8385658365E-006	1.0000000000E+000	9.9906814723E-001	-4.9924441940E-003	6.5484426705E+000	3.2495113138E-003	9.9738295235E-001	-6.2870035571E-001	1.9227936539E-007	-1.3588559777E-006	1.0000000000E+000	-2.2612121054E-002	-4.8033306982E+000	9.0020857787E+003	4.7988344185E+000	-3.4484326252E-002	-1.7956496515E+002	3.4314788432E-007	-1.6255730517E-006	1.0000000000E+000	6	144	288	284	21	37	0.07708	288	283	30	36	0.07472	288	228	195	4	0.05834	288	274	44	38	0.26911	4.61
3322c_322_01~0006	"04/10/13 22:40:37"	D:/CGA/Users/Dugal/MSc	100005	16.0	8.0	7.7	8.7	7.8	4.0	4.0	5.6	5.6	5.6	Auto	Auto	Auto	Auto	Auto	18.046184	9.978664	87.036072	17.896519	-10.301359	93.343491	-18.056053	-9.990701	-93.422862	-17.888099	10.314436	-87.161920	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9809031466E-001	-3.7683744403E-003	3.0696491002E+003	8.4582006032E-004	-1.0003025682E+000	2.0342507886E+003	2.3874358725E-007	-1.9627667018E-006	1.0000000000E+000	-9.9733943669E-001	-6.6034549533E-003	3.0697557739E+003	2.4728827180E-003	-1.0003039520E+000	2.0270719684E+003	1.9751187144E-007	-2.7342675481E-006	1.0000000000E+000	9.9891712714E-001	-5.1165078534E-003	6.5560736735E+000	3.2480717127E-003	9.9708969658E-001	-4.5395319776E-001	1.6717532838E-007	-1.4714854577E-006	1.0000000000E+000	-2.2547596151E-002	-4.8029707332E+000	9.0007592671E+003	4.7978673392E+000	-3.4886046772E-002	-1.7912070155E+002	2.7084376203E-007	-1.6511042926E-006	1.0000000000E+000	5	144	288	272	21	33	0.08019	288	275	24	35	0.06865	288	241	198	6	0.05046	288	223	25	27	0.29456	1.40
3322c_322_01~0007	"04/10/13 22:41:38"	D:/CGA/Users/Dugal/MSc	100006	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.8	5.8	5.8	Auto	Auto	Auto	Auto	Auto	18.046106	9.978626	87.036099	17.896320	-10.301426	93.343770	-18.056173	-9.990757	-93.423126	-17.887713	10.314620	-87.163179	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9792296277E-001	-3.9318718163E-003	3.0694286050E+003	8.5567963159E-004	-1.0002786251E+000	2.0342002881E+003	2.3776582218E-007	-2.0693592673E-006	1.0000000000E+000	-9.9721818880E-001	-6.7700878027E-003	3.0696328053E+003	2.4790542893E-003	-1.0002840999E+000	2.0270648162E+003	2.0564063242E-007	-2.8331647391E-006	1.0000000000E+000	9.9910013357E-001	-5.1365870655E-003	6.5108025188E+000	3.2676231909E-003	9.9744278566E-001	-6.2841671347E-001	2.0344178093E-007	-1.3571740713E-006	1.0000000000E+000	-2.2805679921E-002	-4.8021861976E+000	8.9998277803E+003	4.7959141956E+000	-3.6519174457E-002	-1.7595457409E+002	2.0992698340E-007	-1.7931477118E-006	1.0000000000E+000	5	144	288	269	31	24	0.08495	288	269	12	28	0.08123	288	246	212	6	0.05877	288	226	44	28	0.29387	3.30
3322c_322_01~0008	"04/10/13 22:42:38"	D:/CGA/Users/Dugal/MSc	100007	16.0	8.0	7.7	8.7	7.8	4.3	4.3	6.0	6.0	6.0	Auto	Auto	Auto	Auto	Auto	18.046056	9.978608	87.036115	17.896567	-10.300738	93.345687	-18.055871	-9.991078	-93.421227	-17.888250	10.314240	-87.161623	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9790162752E-001	-3.8931130087E-003	3.0692496782E+003	7.9058546712E-004	-1.0002714304E+000	2.0342180647E+003	2.0298317274E-007	-2.0886935202E-006	1.0000000000E+000	-9.9729151135E-001	-6.7409144734E-003	3.0696851915E+003	2.4695987738E-003	-1.0002929036E+000	2.0270804827E+003	1.8595199035E-007	-2.8359487701E-006	1.0000000000E+000	9.9917816970E-001	-5.2173463517E-003	6.5088784017E+000	3.2905890312E-003	9.9728801885E-001	-5.5393443455E-001	2.5560384194E-007	-1.4246823087E-006	1.0000000000E+000	-2.2906961560E-002	-4.8027021828E+000	9.0010365817E+003	4.7973774369E+000	-3.5207948058E-002	-1.7838212197E+002	2.7413547438E-007	-1.7233991318E-006	1.0000000000E+000	5	144	288	275	32	27	0.08379	288	276	15	30	0.08169	288	265	215	7	0.05609	288	232	38	24	0.28422	2.71
3322c_322_01~0009	"04/10/13 22:43:39"	D:/CGA/Users/Dugal/MSc	100008	16.0	8.0	7.7	8.7	7.8	4.3	4.3	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	18.046172	9.978533	87.036117	17.897032	-10.301035	93.346311	-18.056156	-9.990965	-93.422715	-17.888543	10.314519	-87.160635	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9785710939E-001	-3.8945122687E-003	3.0691031512E+003	7.3798357073E-004	-1.0001860302E+000	2.0341591565E+003	1.6248856122E-007	-2.0847762709E-006	1.0000000000E+000	-9.9721382455E-001	-6.7006730771E-003	3.0694682973E+003	2.3723342072E-003	-1.0001870791E+000	2.0270588047E+003	1.5511854252E-007	-2.8308112141E-006	1.0000000000E+000	9.9903600550E-001	-5.2601650243E-003	6.6884437030E+000	3.2596256014E-003	9.9725179298E-001	-5.8450517593E-001	2.1915000379E-007	-1.4559107442E-006	1.0000000000E+000	-2.2922481299E-002	-4.8025031602E+000	9.0008109078E+003	4.7966195681E+000	-3.5657311207E-002	-1.7709900670E+002	2.3642684619E-007	-1.7370136804E-006	1.0000000000E+000	6	144	288	268	27	37	0.07091	288	269	4	39	0.07157	288	263	216	8	0.05383	288	215	48	23	0.25280	1.30
3322c_322_01~0010	"04/10/13 22:44:38"	D:/CGA/Users/Dugal/MSc	100009	16.0	8.0	7.7	8.7	7.8	4.2	4.2	5.9	5.9	5.9	Auto	Auto	Auto	Auto	Auto	18.046168	9.978588	87.036100	17.896196	-10.301564	93.342879	-18.055972	-9.990563	-93.423179	-17.887832	10.314572	-87.162735	successful	successful	Good	Good	Good	successful	successful	successful	successful	-9.9783226393E-001	-3.9219544949E-003	3.0690581660E+003	7.5718497394E-004	-1.0001868658E+000	2.0341386818E+003	1.6650150640E-007	-2.1028426905E-006	1.0000000000E+000	-9.9717170673E-001	-6.7544615070E-003	3.0693996090E+003	2.4340722797E-003	-1.0002317870E+000	2.0270477268E+003	1.5851380323E-007	-2.8662072485E-006	1.0000000000E+000	9.9884362066E-001	-5.2035854497E-003	6.7156131412E+000	3.2157903555E-003	9.9713599110E-001	-4.0719355193E-001	1.4575203860E-007	-1.4227493440E-006	1.0000000000E+000	-2.3234026274E-002	-4.8022465712E+000	9.0008604539E+003	4.7963533305E+000	-3.5859370493E-002	-1.7663900607E+002	2.2539643638E-007	-1.7185449066E-006	1.0000000000E+000	5	144	288	278	19	34	0.07349	288	278	3	29	0.07537	288	272	188	12	0.04878	288	260	60	25	0.27869	0.91
