Lambda	PAN	NIR	Red	Green	Blue
350	0.0000	0.0000	0.0000	0.0000	0.0000
355	0.0001	0.0000	0.0000	0.0000	0.0000
360	0.0009	0.0000	0.0000	0.0000	0.0002
365	0.0039	0.0000	0.0000	0.0000	0.0009
370	0.0111	0.0000	0.0000	0.0000	0.0030
375	0.0237	0.0000	0.0000	0.0000	0.0074
380	0.0409	0.0000	0.0000	0.0000	0.0148
385	0.0610	0.0000	0.0000	0.0000	0.0259
390	0.0827	0.0000	0.0000	0.0001	0.0404
395	0.1055	0.0000	0.0000	0.0001	0.0577
400	0.1301	0.0000	0.0000	0.0002	0.0766
405	0.1566	0.0000	0.0000	0.0002	0.0963
410	0.1857	0.0000	0.0000	0.0003	0.1170
415	0.2176	0.0000	0.0000	0.0004	0.1398
420	0.2526	0.0000	0.0000	0.0006	0.1654
425	0.2905	0.0000	0.0000	0.0009	0.1939
430	0.3288	0.0000	0.0000	0.0015	0.2239
435	0.3660	0.0000	0.0000	0.0024	0.2554
440	0.3999	0.0000	0.0000	0.0039	0.2861
445	0.4300	0.0000	0.0000	0.0061	0.3157
450	0.4571	0.0000	0.0000	0.0090	0.3405
455	0.4875	0.0000	0.0000	0.0124	0.3653
460	0.5257	0.0000	0.0000	0.0157	0.3902
465	0.5746	0.0000	0.0000	0.0180	0.4147
470	0.6278	0.0000	0.0000	0.0188	0.4327
475	0.6780	0.0000	0.0000	0.0183	0.4376
480	0.7218	0.0000	0.0000	0.0181	0.4305
485	0.7541	0.0000	0.0000	0.0206	0.4089
490	0.7775	0.0000	0.0000	0.0289	0.3807
495	0.7924	0.0001	0.0000	0.0484	0.3481
500	0.8029	0.0001	0.0001	0.0864	0.3150
505	0.8095	0.0001	0.0001	0.1499	0.2793
510	0.8188	0.0001	0.0002	0.2382	0.2427
515	0.8291	0.0001	0.0003	0.3411	0.2059
520	0.8455	0.0001	0.0005	0.4423	0.1712
525	0.8669	0.0001	0.0007	0.5262	0.1387
530	0.8895	0.0001	0.0009	0.5861	0.1116
535	0.9072	0.0001	0.0012	0.6232	0.0922
540	0.9144	0.0001	0.0015	0.6409	0.0804
545	0.9088	0.0001	0.0018	0.6441	0.0748
550	0.8934	0.0001	0.0021	0.6357	0.0731
555	0.8730	0.0001	0.0025	0.6199	0.0719
560	0.8557	0.0001	0.0033	0.5973	0.0678
565	0.8448	0.0001	0.0049	0.5692	0.0592
570	0.8386	0.0001	0.0084	0.5360	0.0474
575	0.8367	0.0001	0.0158	0.4997	0.0347
580	0.8373	0.0001	0.0311	0.4599	0.0234
585	0.8390	0.0001	0.0605	0.4181	0.0151
590	0.8396	0.0001	0.1114	0.3740	0.0101
595	0.8354	0.0001	0.1886	0.3292	0.0075
600	0.8266	0.0001	0.2808	0.2857	0.0063
605	0.8115	0.0001	0.3885	0.2436	0.0054
610	0.7933	0.0001	0.4786	0.2036	0.0046
615	0.7770	0.0001	0.5366	0.1672	0.0038
620	0.7658	0.0001	0.5584	0.1350	0.0031
625	0.7641	0.0001	0.5545	0.1071	0.0024
630	0.7681	0.0001	0.5374	0.0836	0.0019
635	0.7741	0.0001	0.5192	0.0644	0.0014
640	0.7762	0.0001	0.5037	0.0494	0.0011
645	0.7719	0.0001	0.4923	0.0377	0.0009
650	0.7607	0.0001	0.4808	0.0286	0.0008
655	0.7448	0.0002	0.4683	0.0215	0.0007
660	0.7243	0.0004	0.4536	0.0159	0.0007
665	0.7018	0.0013	0.4301	0.0116	0.0008
670	0.6770	0.0045	0.3805	0.0083	0.0008
675	0.6507	0.0140	0.2956	0.0058	0.0009
680	0.6227	0.0376	0.1929	0.0040	0.0010
685	0.5947	0.0830	0.1052	0.0028	0.0011
690	0.5686	0.1528	0.0511	0.0019	0.0011
695	0.5474	0.2371	0.0244	0.0013	0.0011
700	0.5340	0.3203	0.0121	0.0009	0.0010
705	0.5305	0.3873	0.0064	0.0006	0.0009
710	0.5330	0.4331	0.0036	0.0004	0.0008
715	0.5358	0.4590	0.0022	0.0002	0.0008
720	0.5330	0.4709	0.0014	0.0002	0.0007
725	0.5212	0.4741	0.0009	0.0001	0.0006
730	0.5026	0.4720	0.0006	0.0001	0.0006
735	0.4802	0.4645	0.0004	0.0001	0.0005
740	0.4571	0.4529	0.0003	0.0000	0.0005
745	0.4361	0.4360	0.0002	0.0000	0.0004
750	0.4190	0.4182	0.0002	0.0000	0.0004
755	0.4058	0.3997	0.0001	0.0000	0.0003
760	0.3975	0.3835	0.0001	0.0000	0.0003
765	0.3934	0.3697	0.0001	0.0000	0.0003
770	0.3922	0.3587	0.0001	0.0000	0.0003
775	0.3914	0.3498	0.0001	0.0000	0.0003
780	0.3883	0.3430	0.0001	0.0000	0.0002
785	0.3817	0.3386	0.0000	0.0000	0.0002
790	0.3718	0.3346	0.0000	0.0000	0.0002
795	0.3607	0.3297	0.0000	0.0000	0.0002
800	0.3489	0.3213	0.0000	0.0000	0.0002
805	0.3378	0.3105	0.0000	0.0000	0.0002
810	0.3267	0.2972	0.0000	0.0000	0.0002
815	0.3163	0.2830	0.0000	0.0000	0.0002
820	0.3051	0.2675	0.0000	0.0000	0.0002
825	0.2934	0.2534	0.0000	0.0000	0.0002
830	0.2808	0.2401	0.0000	0.0000	0.0002
835	0.2680	0.2276	0.0000	0.0000	0.0002
840	0.2549	0.2152	0.0000	0.0000	0.0002
845	0.2423	0.2034	0.0000	0.0000	0.0002
850	0.2303	0.1928	0.0000	0.0000	0.0002
855	0.2193	0.1836	0.0000	0.0000	0.0002
860	0.2094	0.1756	0.0000	0.0000	0.0002
865	0.2003	0.1689	0.0000	0.0000	0.0002
870	0.1922	0.1632	0.0000	0.0000	0.0002
875	0.1847	0.1583	0.0000	0.0000	0.0002
880	0.1777	0.1538	0.0000	0.0000	0.0002
885	0.1709	0.1494	0.0000	0.0000	0.0002
890	0.1641	0.1444	0.0000	0.0000	0.0002
895	0.1575	0.1387	0.0000	0.0000	0.0002
900	0.1514	0.1320	0.0000	0.0000	0.0002
905	0.1459	0.1243	0.0000	0.0000	0.0002
910	0.1406	0.1158	0.0000	0.0000	0.0002
915	0.1350	0.1071	0.0000	0.0000	0.0002
920	0.1287	0.0989	0.0000	0.0000	0.0002
925	0.1214	0.0914	0.0000	0.0000	0.0002
930	0.1135	0.0846	0.0000	0.0000	0.0002
935	0.1054	0.0785	0.0000	0.0000	0.0002
940	0.0974	0.0729	0.0000	0.0000	0.0002
945	0.0900	0.0677	0.0000	0.0000	0.0002
950	0.0832	0.0627	0.0000	0.0000	0.0002
955	0.0769	0.0581	0.0000	0.0000	0.0002
960	0.0712	0.0536	0.0001	0.0000	0.0002
965	0.0659	0.0493	0.0001	0.0000	0.0002
970	0.0611	0.0454	0.0001	0.0000	0.0002
975	0.0567	0.0416	0.0002	0.0000	0.0002
980	0.0525	0.0379	0.0002	0.0000	0.0002
985	0.0487	0.0343	0.0001	0.0000	0.0002
990	0.0449	0.0309	0.0001	0.0000	0.0002
995	0.0412	0.0276	0.0000	0.0000	0.0001
1000	0.0376	0.0246	0.0000	0.0000	0.0001
1005	0.0339	0.0216	0.0000	0.0000	0.0001
1010	0.0303	0.0190	0.0000	0.0000	0.0001
1015	0.0269	0.0165	0.0000	0.0000	0.0001
1020	0.0240	0.0145	0.0000	0.0000	0.0001
1025	0.0216	0.0129	0.0000	0.0000	0.0001
1030	0.0196	0.0116	0.0000	0.0000	0.0001
1035	0.0178	0.0104	0.0000	0.0000	0.0001
1040	0.0162	0.0094	0.0000	0.0000	0.0001
