Wavelength PAN BLUE GREEN RED NIR
350 0.001403255 0.005321501 0.003085339 0.003714464 0.006001297
355 0.00117893 0.004056696 0.004027158 0.002442659 0.005383954
360 0.001104199 0.00326574 0.002187411 0.001647494 0.003516819
365 0.00091884 0.002702374 0.002318645 0.001925549 0.002108
370 0.001177651 0.002303349 0.001479239 0.001181275 0.002435033
375 0.002033239 0.001259426 0.001427859 0.001072337 0.001699723
380 0.006866167 0.001801131 0.000826356 0.000903021 0.002270892
385 0.010881811 0.002203801 0.001140112 0.000970322 0.001869346
390 0.01672955 0.002395068 0.001242027 0.000922471 0.001620387
395 0.025915516 0.002552655 0.001151666 0.001312533 0.001949462
400 0.036193151 0.002472278 0.001239744 0.000676917 0.001831089
405 0.050633786 0.002907003 0.00114113 0.00121546 0.001509379
410 0.066939735 0.004002729 0.00118663 0.00125683 0.001498779
415 0.084584946 0.006559689 0.001391186 0.001320385 0.001942431
420 0.103194718 0.013135321 0.001894172 0.001152194 0.001718926
425 0.121867194 0.028375307 0.002334906 0.000995466 0.002446678
430 0.144988723 0.068128901 0.002813332 0.001518679 0.002537118
435 0.168391009 0.155144367 0.003706127 0.002087006 0.003127362
440 0.189496708 0.277640432 0.005545751 0.002802861 0.004050086
445 0.212729338 0.431250555 0.009820334 0.003093145 0.004733427
450 0.219766928 0.629889322 0.017852906 0.002887314 0.004748406
455 0.258499397 0.724018127 0.023432481 0.002821108 0.004899919
460 0.275203699 0.791287037 0.030103648 0.00298119 0.004181046
465 0.295468002 0.84378167 0.041170642 0.003460102 0.004443547
470 0.315373182 0.88960058 0.05967047 0.003687867 0.004778689
475 0.336390658 0.917772 0.098170675 0.00315542 0.005234602
480 0.345675285 0.929359096 0.156594976 0.002076551 0.005555666
485 0.354660924 0.960183188 0.228266654 0.002174469 0.005247598
490 0.361130835 1 0.319640562 0.002381802 0.004189899
495 0.368433646 0.991564066 0.417497367 0.002685684 0.00299012
500 0.378097653 0.917821694 0.527706393 0.003071132 0.002645342
505 0.396832087 0.772395631 0.657901352 0.003290905 0.002577249
510 0.414097045 0.573456013 0.769839071 0.00350233 0.002537557
515 0.44090995 0.384044152 0.831235651 0.003727841 0.00286161
520 0.467535863 0.265426289 0.844586209 0.004569748 0.002579395
525 0.498254608 0.159165989 0.870483717 0.005309652 0.003365525
530 0.535101486 0.081631325 0.90827576 0.0059497 0.005282812
535 0.57106669 0.069235207 0.946093864 0.006322825 0.007869691
540 0.613678968 0.06329187 0.98193515 0.006592568 0.009870682
545 0.662712829 0.046933776 1 0.006915566 0.010232745
550 0.704953409 0.029345179 0.993481249 0.007769684 0.007863471
555 0.74989075 0.017638997 0.981901793 0.00898326 0.004870164
560 0.791016925 0.012728671 0.969169845 0.010226368 0.004841281
565 0.830051325 0.012454585 0.977458528 0.011789024 0.00634364
570 0.862855076 0.012891602 0.986903247 0.013875246 0.007650803
575 0.891046838 0.012621004 0.965277938 0.017679851 0.007924392
580 0.925105597 0.011114786 0.898003598 0.023765975 0.006469809
585 0.933507415 0.010091833 0.790978915 0.033418862 0.004367434
590 0.951799329 0.009560494 0.655176938 0.046434755 0.00379518
595 0.962079677 0.009282867 0.482236661 0.063068184 0.003739037
600 0.959795554 0.009767103 0.312445237 0.087187975 0.003598423
605 0.990772904 0.010639158 0.203358131 0.128107571 0.003632737
610 0.997398418 0.010387311 0.137806995 0.204951097 0.003922548
615 0.986932284 0.007892643 0.090078828 0.330015377 0.004505741
620 1 0.005371761 0.055711911 0.495975615 0.004868429
625 0.987550118 0.003557861 0.036478609 0.661934286 0.005671102
630 0.987712923 0.002632669 0.027837378 0.805377016 0.006084498
635 0.966197186 0.002502741 0.026150909 0.883981928 0.006796486
640 0.948349725 0.002484744 0.027378416 0.91120619 0.007291224
645 0.919782522 0.002544469 0.027531407 0.941823563 0.008559742
650 0.918230195 0.002784914 0.024179015 0.979744912 0.010022793
655 0.894320725 0.00266196 0.018577732 0.995795961 0.01123167
660 0.888021748 0.002741843 0.014774132 1 0.012248084
665 0.878177712 0.003287414 0.01319522 0.992219019 0.012935508
670 0.894963756 0.004445597 0.013238126 0.952281104 0.013523352
675 0.889181293 0.008854948 0.013176057 0.872523399 0.014395061
680 0.882297626 0.016178717 0.0116351 0.753053924 0.015580873
685 0.891440609 0.024171125 0.009155158 0.600439661 0.017239179
690 0.87789811 0.027083643 0.006053421 0.423487625 0.01959847
