WKT,PLOT_NUMBE,Z_P_AFRA,COWLINGS_R,PLOT,HERB,LITTER,ALLOMETRY,TAGC,X,Y,X_DMS,YDMS
"POINT (24.57803 -33.68334)",CEST1,10,Gamtoos Valley Thicket,CEST1,1.325280,4.108800,5.217090,10.651170,24.57803,-33.68334,24 34 41,-33 41 00
"POINT (24.5783 -33.68337)",CEST2,10,Gamtoos Valley Thicket,CEST2,0.087480,0.775680,12.896169,13.759329,24.57830,-33.68337,24 34 42,-33 41 00
"POINT (24.57865 -33.6827)",CEST3,3,Gamtoos Valley Thicket,CEST3,0.033120,0.382080,3.473980,3.889180,24.57865,-33.68270,24 34 43,-33 40 58
"POINT (24.57839 -33.68291)",CEST4,25,Gamtoos Valley Thicket,CEST4,1.544208,0.840960,7.348051,9.733219,24.57839,-33.68291,24 34 42,-33 40 58
"POINT (24.57888 -33.68316)",CEST5,10,Gamtoos Valley Thicket,CEST5,0.577560,6.785280,78.552723,85.915563,24.57888,-33.68316,24 34 44,-33 40 59
"POINT (24.57411 -33.68215)",CNST1,25,Gamtoos Valley Thicket,CNST1,3.582300,0.000000,10.656034,14.238334,24.57411,-33.68215,24 34 27,-33 40 56
"POINT (24.57551 -33.68268)",CNST2,45,Gamtoos Valley Thicket,CNST2,2.816160,1.201920,24.793248,28.811328,24.57551,-33.68268,24 34 32,-33 40 58
"POINT (24.57526 -33.68126)",CNST3,30,Gamtoos Valley Thicket,CNST3,4.214028,3.390720,5.004974,12.609722,24.57526,-33.68126,24 34 31,-33 40 53
"POINT (24.5758 -33.68269)",CNST4,12,Gamtoos Valley Thicket,CNST4,0.728760,1.125120,2.751169,4.605049,24.57580,-33.68269,24 34 33,-33 40 58
"POINT (24.57611 -33.68217)",CNST5,30,Gamtoos Valley Thicket,CNST5,4.521336,1.309440,18.433505,24.264281,24.57611,-33.68217,24 34 34,-33 40 56
"POINT (24.58092 -33.68311)",COLE1,0,Gamtoos Valley Thicket,COLE1,1.631040,0.272640,0.761035,2.664715,24.58092,-33.68311,24 34 51,-33 40 59
"POINT (24.58133 -33.68431)",COLE2,0,Gamtoos Valley Thicket,COLE2,3.531600,0.407040,0.700645,4.639285,24.58133,-33.68431,24 34 53,-33 41 04
"POINT (24.58192 -33.68406)",COLE3,0,Gamtoos Valley Thicket,COLE3,1.214040,0.207360,0.278952,1.700352,24.58192,-33.68406,24 34 55,-33 41 03
"POINT (24.58229 -33.68269)",COLE4,0,Gamtoos Valley Thicket,COLE4,2.634720,1.336320,0.403331,4.374371,24.58229,-33.68269,24 34 56,-33 40 58
"POINT (24.58282 -33.68317)",COLE5,0,Gamtoos Valley Thicket,COLE5,2.083800,0.238080,4.151999,6.473879,24.58282,-33.68317,24 34 58,-33 40 59
"POINT (24.57574 -33.68005)",COLN2,0,Gamtoos Valley Thicket,COLN2,1.134000,0.107520,0.109667,1.351187,24.57574,-33.68005,24 34 33,-33 40 48
"POINT (24.57488 -33.68009)",COLN3,0,Gamtoos Valley Thicket,COLN3,1.849680,0.092160,0.058327,2.000167,24.57488,-33.68009,24 34 30,-33 40 48
"POINT (24.57427 -33.68038)",COLN4,0,Gamtoos Valley Thicket,COLN4,0.679920,0.307200,0.000000,0.987120,24.57427,-33.68038,24 34 27,-33 40 49
"POINT (24.57397 -33.68026)",COLN5,0,Gamtoos Valley Thicket,COLN5,1.172280,0.111360,0.006189,1.289829,24.57397,-33.68026,24 34 26,-33 40 49
"POINT (24.57378 -33.68053)",COLN6,0,Gamtoos Valley Thicket,COLN6,0.851640,0.000000,0.067675,0.919315,24.57378,-33.68053,24 34 26,-33 40 50
"POINT (24.61443 -33.67188)",GHOL1 PLOT1,0,Gamtoos Valley Thicket,GHOL1_1,0.511080,0.706560,0.660534,1.878174,24.61443,-33.67188,24 36 52,-33 40 19
"POINT (24.61977 -33.67162)",GHOL1 PLOT10,0,Gamtoos Valley Thicket,GHOL1_10,0.837360,0.103680,0.039762,0.980802,24.61977,-33.67162,24 37 11,-33 40 18
"POINT (24.61459 -33.67242)",GHOL1 PLOT2,0,Gamtoos Valley Thicket,GHOL1_2,0.244440,1.856640,0.401518,2.502598,24.61459,-33.67242,24 36 53,-33 40 21
"POINT (24.6146 -33.67079)",GHOL1 PLOT3,0,Gamtoos Valley Thicket,GHOL1_3,0.534720,4.350720,0.052579,4.938019,24.61460,-33.67079,24 36 53,-33 40 15
"POINT (24.61604 -33.67148)",GHOL1 PLOT4,0,Gamtoos Valley Thicket,GHOL1_4,0.791520,2.636160,0.014015,3.441695,24.61604,-33.67148,24 36 58,-33 40 17
"POINT (24.61669 -33.67311)",GHOL1 PLOT5,0,Gamtoos Valley Thicket,GHOL1_5,0.818760,0.330240,0.010382,1.159382,24.61669,-33.67311,24 37 00,-33 40 23
"POINT (24.61733 -33.67162)",GHOL1 PLOT6,0,Gamtoos Valley Thicket,GHOL1_6,1.809600,9.732480,0.001797,11.543877,24.61733,-33.67162,24 37 02,-33 40 18
"POINT (24.6175 -33.67216)",GHOL1 PLOT7,0,Gamtoos Valley Thicket,GHOL1_7,0.867840,0.301440,0.110913,1.280193,24.61750,-33.67216,24 37 03,-33 40 20
"POINT (24.61864 -33.67135)",GHOL1 PLOT8,0,Gamtoos Valley Thicket,GHOL1_8,1.277880,0.067200,0.999904,2.344984,24.61864,-33.67135,24 37 07,-33 40 17
"POINT (24.61944 -33.67203)",GHOL1 PLOT9,0,Gamtoos Valley Thicket,GHOL1_9,3.413280,0.186240,0.163023,3.762543,24.61944,-33.67203,24 37 10,-33 40 19
"POINT (24.62695 -33.65838)",GHOL2 PLOT 1,0,Baviaanskloof thicket savanna,GHOL2_1,0.727920,0.399360,2.645171,3.772451,24.62695,-33.65838,24 37 37,-33 39 30
"POINT (24.62711 -33.65866)",GHOL2 PLOT 2,0,Baviaanskloof thicket savanna,GHOL2_2,0.966480,2.110080,12.311942,15.388502,24.62711,-33.65866,24 37 38,-33 39 31
"POINT (24.6284 -33.6592)",GHOL2 PLOT 3,0,Gamtoos Bontveld,GHOL2_3,0.589200,0.693120,0.061252,1.343572,24.62840,-33.65920,24 37 42,-33 39 33
"POINT (24.62857 -33.66014)",GHOL2 PLOT 4,0,Baviaanskloof thicket savanna,GHOL2_4,0.611760,0.345600,0.845869,1.803229,24.62857,-33.66014,24 37 43,-33 39 37
"POINT (24.6297 -33.66003)",GHOL2 PLOT 5,0,Baviaanskloof thicket savanna,GHOL2_5,0.574560,0.142080,0.281238,0.997878,24.62970,-33.66003,24 37 47,-33 39 36
"POINT (24.61429 -33.65708)",GHOL3 PLOT1,0,Gamtoos Bontveld,GHOL3_1,0.316920,0.278400,0.225186,0.820506,24.61429,-33.65708,24 36 51,-33 39 25
"POINT (24.61526 -33.65708)",GHOL3 PLOT2,0,Gamtoos Bontveld,GHOL3_2,0.204360,0.000000,0.025606,0.229966,24.61526,-33.65708,24 36 55,-33 39 26
"POINT (24.61574 -33.65749)",GHOL3 PLOT3,0,Gamtoos Bontveld,GHOL3_3,0.090840,0.119040,0.033324,0.243204,24.61574,-33.65749,24 36 57,-33 39 27
"POINT (24.61801 -33.6575)",GHOL3 PLOT4,0,Gamtoos Bontveld,GHOL3_4,0.684960,0.597120,2.125737,3.407817,24.61801,-33.65750,24 37 05,-33 39 27
"POINT (24.61913 -33.65912)",GHOL3 PLOT5,0,Gamtoos Bontveld,GHOL3_5,0.535320,0.336000,0.082243,0.953563,24.61913,-33.65912,24 37 09,-33 39 33
"POINT (24.60381 -33.67675)",GHST1,,Gamtoos Valley Thicket,GHST1,4.031700,1.989120,4.373418,10.394238,24.60381,-33.67675,24 36 14,-33 40 36
"POINT (24.62787 -33.6606)",GHST10,0,Gamtoos Bontveld,GHST10,0.286320,0.324480,2.134208,2.745008,24.62787,-33.66060,24 37 40,-33 39 38
"POINT (24.62448 -33.65882)",GHST11,,Gamtoos Bontveld,GHST11,1.433280,2.250240,1.055648,4.739168,24.62448,-33.65882,24 37 28,-33 39 32
"POINT (24.62496 -33.65992)",GHST12,3,Gamtoos Bontveld,GHST12,1.646040,1.067520,4.620892,7.334452,24.62496,-33.65992,24 37 30,-33 39 36
"POINT (24.62593 -33.66182)",GHST13,1,Gamtoos Bontveld,GHST13,0.989880,0.430080,2.979841,4.399801,24.62593,-33.66182,24 37 33,-33 39 43
"POINT (24.62611 -33.65911)",GHST14,,Gamtoos Bontveld,GHST14,1.420080,2.442240,12.246216,16.108536,24.62611,-33.65911,24 37 34,-33 39 33
"POINT (24.62641 -33.66047)",GHST15,8,Gamtoos Bontveld,GHST15,1.992240,0.483840,50.464086,52.940166,24.62641,-33.66047,24 37 35,-33 39 38
"POINT (24.62529 -33.65938)",GHST16,,Gamtoos Bontveld,GHST16,1.203360,0.468480,26.853047,28.524887,24.62529,-33.65938,24 37 31,-33 39 34
"POINT (24.60382 -33.67473)",GHST2,0,Gamtoos Valley Thicket,GHST2,3.233712,1.943040,3.473551,8.650303,24.60382,-33.67473,24 36 14,-33 40 29
"POINT (24.60461 -33.67563)",GHST3,1,Gamtoos Valley Thicket,GHST3,1.515840,6.266880,44.952373,52.735093,24.60461,-33.67563,24 36 17,-33 40 32
"POINT (24.6049 -33.67451)",GHST4,10,Gamtoos Valley Thicket,GHST4,3.200640,0.232320,16.242117,19.675077,24.60490,-33.67451,24 36 18,-33 40 28
"POINT (24.60652 -33.67611)",GHST5,25,Gamtoos Valley Thicket,GHST5,1.865160,1.234560,8.486741,11.586461,24.60652,-33.67611,24 36 23,-33 40 34
"POINT (24.62576 -33.66154)",GHST6,2,Gamtoos Bontveld,GHST6,0.264720,4.032000,242.664805,246.961525,24.62576,-33.66154,24 37 33,-33 39 42
"POINT (24.62642 -33.66155)",GHST7,8,Gamtoos Bontveld,GHST7,0.622800,0.218880,6.492500,7.334180,24.62642,-33.66155,24 37 35,-33 39 42
